idx,raw_dtw,emb_dtw,emb_cam_dtw,is_event,date
85,1.0115381387563855,1.1572950133546505,1.5338642892030412,0,2023-08-18
86,1.0219227717472958,1.2938744604427455,1.7308659212542579,0,2023-08-21
87,1.0376919966477618,1.3993050700126108,1.9088690376680733,0,2023-08-22
88,1.0453842970041132,1.484536383713345,2.0141755692447285,0,2023-08-23
89,0.9892304493830757,1.561071629894476,2.027918122745294,0,2023-08-24
90,1.0642304787269006,1.5016624980019189,1.8529489053267378,0,2023-08-25
91,0.7485184139675565,1.239701302468407,1.547208673050329,0,2023-08-28
92,0.5171427726745609,0.8537118298053694,1.084299650172593,0,2023-08-29
93,0.38699992497762065,0.5480556766124061,0.697474762997067,0,2023-08-30
94,0.4116666158040366,0.6515125335831882,0.8416396082578824,0,2023-08-31
95,0.44499994913736973,0.6671595723977717,0.9131508670913918,0,2023-09-01
96,0.4525806057837699,0.7105320381061575,0.9194027269941435,0,2023-09-04
97,0.4954838291291265,0.8015710562685273,1.0395822657434781,0,2023-09-05
98,0.5158063827022425,0.8147919114072003,1.0803078088397793,0,2023-09-06
99,0.5892855780465259,0.7510079480588188,0.9944147230866524,0,2023-09-07
100,0.6432142257690427,0.6328216984542734,0.8364901296446305,0,2023-09-08
101,0.6960714885166708,0.606245931062545,0.8075598714632765,0,2023-09-11
102,0.8957690825829139,0.7077838536667158,0.86502062465405,0,2023-09-12
103,1.0916001510620117,0.7511694981961174,0.8624185971148036,0,2023-09-13
104,1.091428109577724,0.861998735931493,0.9784773478011766,0,2023-09-14
105,1.2251847938255027,0.9105692479371956,0.9919893939065595,0,2023-09-15
106,1.354615064767691,1.0562122146041892,1.3965327578484437,0,2023-09-18
107,1.4927997589111328,1.1689815689398022,1.5526641225354467,0,2023-09-19
108,1.580799903869629,1.345175009338043,1.7355535792373342,0,2023-09-20
109,1.6014814730043765,1.3426016163931145,1.748185885681038,0,2023-09-21
110,1.7480769157409668,1.309888079447055,1.680647780867432,0,2023-09-22
111,1.920800018310547,1.3790311540435658,1.8654891208690094,0,2023-09-25
112,2.008799934387207,1.4809037903401951,1.999482763936618,0,2023-09-26
113,2.03153841312115,1.5539778554371422,2.138721423580539,0,2023-09-27
114,2.0931997680664063,1.7214685551172555,2.2779414865694934,0,2023-09-28
115,1.951999740600586,1.7866124423214356,2.527283678675396,0,2023-09-29
116,1.7987997436523437,1.6202009315351673,2.1553794657760057,0,2023-10-02
117,1.645199966430664,1.4413162042653718,1.8664930540390146,0,2023-10-03
118,1.5249999853280878,1.3471224372093729,1.7196667275469277,0,2023-10-04
119,1.5324001693725589,1.2766378742334192,1.7104321512401823,0,2023-10-05
120,1.5072001266479487,1.3140067499397314,1.775257290803147,0,2023-10-06
121,1.389200096130371,1.3477208961577287,1.7477721991994146,0,2023-10-09
122,1.241111296194571,1.3599240776581036,1.7177714688563006,0,2023-10-10
123,1.082963131092213,1.3614875588711215,1.6836165916564172,0,2023-10-11
124,0.7725926505194772,1.312207047574071,1.6312603699562669,0,2023-10-12
125,0.6833333969116216,1.1574887346315226,1.449179122264474,0,2023-10-13
126,0.707142932074411,1.0742820539373255,1.3528537170148747,0,2023-10-16
127,0.7064285959516258,0.9583940577503711,1.2233767563261326,0,2023-10-17
128,0.7335713931492401,0.7748224839698855,0.9592020647249399,0,2023-10-18
129,1.1488460760850177,0.7858659454064466,1.007988208730521,0,2023-10-19
130,1.3284613902752218,1.084391650693048,1.3833463028903412,0,2023-10-20
131,1.6023997116088873,1.221901760313777,1.6250377844756942,0,2023-10-23
132,2.2323809124174567,1.352822019745407,1.819733042494551,0,2023-10-24
133,2.1945453557101158,1.5213775922724417,2.013120351997289,0,2023-10-25
134,2.2134782127712076,1.65161185988085,2.1237792662707915,0,2023-10-26
135,2.3070833285649615,1.4579739797986293,1.841182009473621,0,2023-10-27
136,2.4060000228881835,1.3197718157606173,1.7052437735053039,0,2023-10-30
137,2.8604546026750044,1.2151060899765909,1.6189662994327376,0,2023-10-31
138,2.1346154946547298,1.0199158162243385,1.2955459537361298,0,2023-11-01
139,1.7215389471787672,0.8186357152813626,0.991799056580483,0,2023-11-02
140,1.231852178220396,0.6197069263072817,0.7815790311536861,0,2023-11-03
141,1.0142860753195628,0.7193769841404452,0.910444775126849,0,2023-11-06
142,0.9233335565637661,0.7432502350158882,0.9652629103208222,0,2023-11-07
143,0.8157144614628385,0.8336766632264608,1.075295056645248,0,2023-11-08
144,0.8437933099680935,0.7781296235761193,1.0137665494352925,0,2023-11-09
145,0.875999959309896,0.9372548611383525,1.224622630097514,0,2023-11-10
146,0.8023332913716636,0.7956434981933398,1.0160192160597497,0,2023-11-13
147,0.887096743429861,0.7698923073593135,0.9743228049805867,0,2023-11-14
148,1.308148172166612,0.7952407871015491,0.9556797751760345,0,2023-11-15
149,1.2703571660178044,0.8405958200762695,0.984714861533366,0,2023-11-16
150,1.1551724466784241,0.8514847602589448,0.9753342989254048,0,2023-11-17
151,1.0927586719907554,0.7381625501766274,0.8181456461105081,0,2023-11-20
152,1.1742856843130915,0.703817941077738,0.8061944080687043,0,2023-11-21
153,1.49115382708036,0.9590507005604438,1.0841809714069697,0,2023-11-22
154,1.6583999633789062,1.1379391026215038,1.524350959615926,0,2023-11-23
155,1.7371997833251953,1.3123402961040196,1.6381658439660036,0,2023-11-24
156,1.4406664848327637,1.4071709932711638,1.7811528306477962,0,2023-11-27
157,1.4517239866585567,1.5929548309828165,1.6552128359357292,0,2023-11-28
158,1.5210713318416045,1.343843549904717,1.5615201796112965,0,2023-11-29
159,1.5849999019077845,1.100390746750228,1.3417233131075113,0,2023-11-30
160,1.6964284692491804,0.9367306233024233,1.163518584392446,0,2023-12-01
161,2.006399879455566,0.9051033568608818,1.0865167209307038,0,2023-12-04
162,2.0979998779296873,0.7787475035128851,0.9242549455321836,0,2023-12-05
163,2.1899999618530273,0.7871860022621281,0.8848403866872675,0,2023-12-06
164,2.2491999435424805,0.8818927716319476,1.3197033513470433,0,2023-12-07
165,2.3811997985839843,0.8289139984077224,0.9087718887849101,0,2023-12-08
166,2.453999786376953,1.1186157952288494,1.5644472124281543,0,2023-12-11
167,3.19649977684021,1.0676968852242126,1.3937308273093403,0,2023-12-12
168,3.3009997844696044,1.211753476337013,1.5939932273100186,0,2023-12-13
169,3.4004998207092285,1.4713317155400634,1.7303603655168673,0,2023-12-14
170,3.492499828338623,1.5298185026514681,1.7028116379593852,0,2023-12-15
171,3.5684998512268065,1.390637081057455,1.8006023565210796,0,2023-12-18
172,3.610999822616577,1.2185327364851575,1.4137139981972893,0,2023-12-19
173,3.651999855041504,1.0603760870359193,1.1782954431668577,0,2023-12-20
174,3.610999870300293,1.120590689872776,1.3680652765617467,0,2023-12-21
175,3.5709999084472654,1.3179857891549107,1.784879734592275,0,2023-12-22
176,3.5424999237060546,1.4659385458439325,1.9366535776135139,0,2023-12-25
177,3.5254999160766602,1.5123821482406001,1.934384728935827,0,2023-12-26
178,3.510499906539917,1.6101116503248998,2.015479232699069,0,2023-12-27
179,3.5379998683929443,1.4262646335834532,1.8801513450253122,0,2023-12-28
180,3.5604998588562005,1.1692371010000837,1.535288838438968,0,2023-12-29
181,3.56949987411499,0.9214526069432251,1.1831688542673076,0,2024-01-01
182,3.600999879837036,0.6381270386135163,0.7704319079481486,0,2024-01-02
183,3.5834999084472656,0.7033144051698467,0.848628133647139,0,2024-01-03
184,3.529999923706055,0.7801476019572013,1.091114287970444,0,2024-01-04
185,3.4764999389648437,0.9378852135989558,1.283851532105853,0,2024-01-05
186,3.426499938964844,0.9339569060280806,1.341853442166596,0,2024-01-08
187,3.403999948501587,1.0285379571638382,1.3335191596086406,0,2024-01-09
188,3.369499921798706,1.0763363237758798,1.3873753097416317,0,2024-01-10
189,3.344499921798706,1.1252978985378825,1.5450549527532151,0,2024-01-11
190,3.3464999198913574,1.0653945569727818,1.3829177302165434,0,2024-01-12
191,3.32549991607666,0.8713916211369515,1.1170136562372892,0,2024-01-15
192,3.318499946594239,0.6437666044867865,0.7719782051807301,0,2024-01-16
193,3.252999925613404,0.7153166750144565,0.8766624667169144,0,2024-01-17
194,2.905454462224787,0.7461155318048224,1.0269671188628804,0,2024-01-18
195,3.016190392630441,0.8592636557923506,1.2893366119715264,0,2024-01-19
196,3.0038094293503534,0.949769820005678,1.33366256707066,0,2024-01-22
197,2.8659090128811924,0.9964614728180932,1.3817510219432012,0,2024-01-23
198,2.755652095960534,0.9908139310700732,1.3545083076144875,0,2024-01-24
199,2.606666604677836,1.049571273552781,1.4250438256457547,0,2024-01-25
200,2.45879997253418,1.1895678000454515,1.5698682389249399,0,2024-01-26
201,2.6352172934490703,0.9774834302805411,1.2444492982182915,0,2024-01-29
202,2.472499887148539,0.8765167090987339,1.1060119271767608,0,2024-01-30
203,2.364399871826172,0.9305454306363935,1.0921684917398695,0,2024-01-31
204,2.351999855041504,0.9063554287835471,1.0177679947576417,0,2024-02-01
