date,is_event,concept,sign_score,positive_mass,mean_dd,cam_weighted_pos_mass
2024-06-26,0,0,0.0,0.0,-0.0010078469210725402,0.0
2024-06-27,0,0,0.0,0.0,-0.0008791700608017366,0.0
2024-06-28,0,0,0.0,0.0,-0.000668696877233694,0.0
2024-07-01,0,0,0.0,0.0,-0.000667310340075926,0.0
2024-07-02,0,0,0.0,0.0,-0.0006622227566191596,0.0
2024-07-03,0,0,0.0,0.0,-0.0005095621803491601,0.0
2024-07-04,0,0,0.0,0.0,-0.000493644808418461,0.0
2024-07-05,0,0,0.0,0.0,-0.0005514341232838373,0.0
2024-07-08,0,0,0.0,0.0,-0.0006917239558486413,0.0
2024-07-09,0,0,0.0,0.0,-0.0006879058767885896,0.0
2024-07-10,0,0,0.0,0.0,-0.0006746404642558546,0.0
2024-07-11,0,1,0.0,0.0,-0.0006714541642169938,0.0
2024-07-12,0,0,0.0,0.0,-0.0006454431539942751,0.0
2024-07-15,0,0,0.0,0.0,-0.0006390299222618956,0.0
2024-07-16,0,0,0.0,0.0,-0.0006734595520489867,0.0
2024-07-17,0,0,0.0,0.0,-0.0006986765771088795,0.0
2024-07-18,0,0,0.0,0.0,-0.0005910057223921397,0.0
2024-07-19,0,0,0.0,0.0,-0.0008789872592400948,0.0
2024-07-22,0,0,0.0,0.0,-0.0011466571094169166,0.0
2024-07-23,0,0,0.0,0.0,-0.0015189750802818598,0.0
2024-07-24,0,0,0.0,0.0,-0.0019878972051043066,0.0
2024-07-25,0,0,0.0,0.0,-0.0015543932384248851,0.0
2024-07-26,0,0,0.0,0.0,-0.0017880403817794044,0.0
2024-07-29,1,0,0.0,0.0,-0.002895560474936829,0.0
2024-07-30,1,0,0.0,0.0,-0.002912795596033518,0.0
2024-07-31,1,0,0.0,0.0,-0.003019427450253027,0.0
2024-08-01,1,0,0.0,0.0,-0.002928473167504894,0.0
2024-08-02,1,0,0.0,0.0,-0.002396614977415989,0.0
2024-08-05,0,0,0.0,0.0,-0.0018496616802608091,0.0
2024-08-06,0,0,0.0,0.0,-0.0034192857043435373,0.0
2024-08-07,0,0,0.0,0.0,-0.004570223327604229,0.0
2024-08-08,0,0,0.0,0.0,-0.006026524188743186,0.0
2024-08-09,0,0,0.0,0.0,-0.0059863322588553005,0.0
2024-08-12,0,0,0.0,0.0,-0.0056646741671980225,0.0
2024-08-13,0,0,0.0,0.0,-0.005429763820848943,0.0
2024-08-14,0,0,0.0,0.0,-0.005148834476506398,0.0
2024-08-15,0,0,0.0,0.0,-0.005036505808019876,0.0
2024-08-16,0,0,0.0,0.0,-0.004711644228396146,0.0
2024-08-19,0,0,0.0,0.0,-0.0034096927838872444,0.0
2024-08-20,0,0,0.0,0.0,-0.003422597202016121,0.0
2024-08-21,0,0,0.0,0.0,-0.0047956997778710354,0.0
2024-08-22,0,0,0.0,0.0,-0.005174585064752313,0.0
2024-08-23,0,0,0.0,0.0,-0.00518829241476273,0.0
2024-08-26,0,0,0.0,0.0,-0.005212093621138304,0.0
2024-08-27,0,0,0.0,0.0,-0.005229964446684507,0.0
2024-08-28,0,0,0.0,0.0,-0.00390202927627334,0.0
2024-08-29,0,0,0.0,0.0,-0.004949189403380466,0.0
2024-08-30,1,0,0.0,0.0,-0.004130289758649482,0.0
2024-09-02,1,0,0.0,0.0,-0.0035981585140426276,0.0
2024-09-03,0,0,0.0,0.0,-0.003829336263248116,0.0
2024-09-04,0,0,0.0,0.0,-0.0028613035510758845,0.0
2024-09-05,0,0,0.0,0.0,-0.002362322097946876,0.0
2024-09-06,0,0,0.0,0.0,-0.002086066373011368,0.0
2024-09-09,0,0,0.0,0.0,-0.0022259800574699114,0.0
2024-09-10,0,0,0.0,0.0,-0.002159450980680319,0.0
2024-09-11,0,0,0.0,0.0,-0.002756435767186331,0.0
2024-09-12,0,0,0.0,0.0,-0.0027226039193505055,0.0
2024-09-13,0,0,0.0,0.0,-0.002665225433948017,0.0
2024-09-16,0,0,0.0,0.0,-0.0025741532533025227,0.0
2024-09-17,0,0,0.0,0.0,-0.0024487957061393975,0.0
2024-09-18,0,0,0.0,0.0,-0.002407427887960953,0.0
2024-09-19,0,0,0.0,0.0,-0.002410500220951325,0.0
2024-09-20,0,0,0.0,0.0,-0.002411594983642992,0.0
2024-09-23,0,0,0.0,0.0,-0.0023961968652620527,0.0
2024-09-24,0,0,0.0,0.0,-0.00240986150399267,0.0
2024-09-25,0,0,0.0,0.0,-0.001389549809303493,0.0
2024-09-26,0,0,0.0,0.0,-0.0018397678224541226,0.0
2024-09-27,0,0,0.0,0.0,-0.0017223072948050837,0.0
2024-09-30,0,0,0.0,0.0,-0.002400442693866239,0.0
2024-10-01,0,0,0.0,0.0,-0.0022927358906635817,0.0
2024-10-02,0,0,0.0,0.0,-0.0022263219905516293,0.0
2024-10-03,0,0,0.0,0.0,-0.0020572698459865196,0.0
2024-10-04,0,0,0.0,0.0,-0.0016694904472521466,0.0
2024-10-07,0,0,0.0,0.0,-0.0018009416878278979,0.0
2024-10-08,0,0,0.0,0.0,-0.0014893859016225993,0.0
2024-10-09,0,0,0.0,0.0,-0.0018143015728565204,0.0
2024-10-10,0,0,0.0,0.0,-0.0019167913788299073,0.0
2024-10-11,0,0,0.0,0.0,-0.0025186658985722585,0.0
2024-10-14,0,0,0.0,0.0,-0.002556162846223432,0.0
2024-10-15,0,0,0.0,0.0,-0.002542045557687443,0.0
2024-10-16,0,0,0.0,0.0,-0.0026212302802278557,0.0
2024-10-17,0,0,0.0,0.0,-0.0026093872381339396,0.0
